,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
0,Y,99999999,0,741.0,2231892.0,8.0,2,0,29200.53,14.9,29.0,18,1,297996,750090.0,0.0,0.0
1,Y,217646,0,730.0,1184194.0,0.0,0,0,10855.08,19.6,10.0,13,1,122170,272052.0,1.0,0.0
2,Y,548746,0,678.0,2559110.0,2.0,1,0,18660.28,22.6,33.0,4,0,437171,555038.0,0.0,0.0
3,Y,99999999,0,728.0,714628.0,3.0,1,0,11851.06,16.0,76.0,16,0,203965,289784.0,0.0,0.0
4,Y,99999999,0,740.0,776188.0,0.0,2,0,11578.22,8.5,25.0,6,0,134083,220220.0,0.0,0.0
5,Y,234124,0,727.0,693234.0,10.0,1,0,14211.24,24.7,46.0,10,1,28291,107052.0,1.0,0.0
6,Y,666204,1,723.0,1821967.0,10.0,0,0,17612.24,22.0,34.0,15,0,813694,2004618.0,0.0,0.0
7,N,317108,1,687.0,1133274.0,8.0,1,0,9632.81,17.4,53.0,4,0,60287,126940.0,0.0,0.0
8,Y,465410,1,688.0,1722654.0,3.0,1,6,15647.45,22.3,30.0,7,0,107559,488356.0,0.0,0.0
9,Y,99999999,0,746.0,1749748.0,10.0,0,0,19247.19,20.0,32.0,17,0,224390,295240.0,0.0,0.0
10,Y,449108,0,718.0,1454507.0,8.0,0,0,13090.43,28.8,21.0,14,0,193990,458414.0,0.0,0.0
11,N,688468,1,682.0,1494616.0,0.0,1,0,14697.07,16.6,50.0,8,0,343995,843854.0,0.0,0.0
12,Y,311762,1,680.0,2211657.0,4.0,0,0,44601.74,14.5,15.0,11,0,213921,509652.0,0.0,0.0
13,Y,129712,0,723.0,1465698.0,10.0,2,0,18199.15,19.4,6.0,34,1,45106,163218.0,0.0,0.0
14,Y,287980,0,737.0,1013954.0,0.0,0,0,16138.6,18.6,13.0,11,0,223117,489302.0,0.0,0.0
15,N,219692,1,6610.0,527839.0,10.0,1,0,14207.63,17.0,48.0,9,0,254277,379918.0,0.0,0.0
16,N,374176,1,652.0,1239199.0,10.0,0,1,5163.25,36.6,42.0,10,0,126350,415602.0,0.0,0.0
17,Y,99999999,1,730.0,2509520.0,10.0,0,0,34714.9,40.8,35.0,12,0,733324,1035496.0,0.0,0.0
